datetime,Latitude,Longitude,Altitude,(m),Speed(km/h),Total distance(km)
2024-04-02 14:41:03,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:04,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:05,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:06,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:07,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:08,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:09,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:10,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:11,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:12,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:13,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:14,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:15,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:16,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:17,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:18,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:19,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:20,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:21,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:22,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:23,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:24,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:25,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:26,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:27,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:28,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:29,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:30,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:31,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:32,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:33,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:34,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:35,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:36,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:37,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:38,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:39,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:40,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:41,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:42,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:43,53.35562,-6.280346,80.0,0.0,1.205,
2024-04-02 14:41:44,53.35562,-6.280346,80.0,0.0,1.205,
