name,time,addr,device,mean,median,rssi,sd
rssi,1685016662119000000,d74adea29cf7,rasp0,-63.3,-64.5,-50,13.424231821597838
rssi,1685016662620000000,d74adea29cf7,rasp0,-61,-64,-56,12.47397290361014
rssi,1685016663635000000,d74adea29cf7,rasp0,-58.2,-64,-54,10.419213022104884
rssi,1685016665603000000,d74adea29cf7,rasp0,-57.2,-64,-73,8.243785538209979
rssi,1685016666110000000,d74adea29cf7,rasp0,-57.2,-64,-55,8.24378553820998
rssi,1685016667115000000,d74adea29cf7,rasp0,-59.4,-64,-71,8.685620300243386
rssi,1685016668773000000,d74adea29cf7,rasp0,-59.8,-64.5,-68,8.975522268926749
rssi,1685016669154000000,d74adea29cf7,rasp0,-58.2,-64,-51,8.97552226892675
rssi,1685016670225000000,d74adea29cf7,rasp0,-61.4,-64.5,-77,9.3936148526539
rssi,1685016670618000000,d74adea29cf7,rasp0,-63,-65,-75,10.178408519999577
rssi,1685016673621000000,d74adea29cf7,rasp0,-63.8,-64.5,-58,9.410632284814874
rssi,1685016675134000000,d74adea29cf7,rasp0,-65.5,-65,-73,9.3834961501564
rssi,1685016677126000000,d74adea29cf7,rasp0,-68.8,-65.5,-87,10.49571341072154
rssi,1685016677763000000,d74adea29cf7,rasp0,-68.3,-66,-68,10.402403568406678
rssi,1685016678134000000,d74adea29cf7,rasp0,-69.6,-66.5,-68,9.425497334358543
rssi,1685016678830000000,d74adea29cf7,rasp0,-69.3,-67,-68,9.423905772024675
rssi,1685016679647000000,d74adea29cf7,rasp0,-70.3,-67,-78,9.757561170702441
rssi,1685016680155000000,d74adea29cf7,rasp0,-70.3,-67,-51,9.757561170702441
rssi,1685016682119000000,d74adea29cf7,rasp0,-68.4,-66.5,-58,10.11137972781163
rssi,1685016684149000000,d74adea29cf7,rasp0,-67.8,-67,-69,9.877246579892597
rssi,1685016684645000000,d74adea29cf7,rasp0,-69,-67,-70,9.327379053088816
rssi,1685016685144000000,d74adea29cf7,rasp0,-67.4,-67,-57,9.86103442849684
rssi,1685016687114000000,d74adea29cf7,rasp0,-65.3,-66.5,-66,7.389857914736926
rssi,1685016687620000000,d74adea29cf7,rasp0,-63.7,-66,-52,8.307225770376053
rssi,1685016688128000000,d74adea29cf7,rasp0,-62.8,-66,-59,8.280096617793781
rssi,1685016689647000000,d74adea29cf7,rasp0,-61.2,-66,-52,8.657944328765346
rssi,1685016690604000000,d74adea29cf7,rasp0,-58.5,-65.5,-51,7.060453243241541
rssi,1685016691139000000,d74adea29cf7,rasp0,-60.7,-66,-73,7.772387020729218
rssi,1685016693135000000,d74adea29cf7,rasp0,-63.4,-66,-85,10.55651457631732
rssi,1685016693635000000,d74adea29cf7,rasp0,-62.9,-66,-64,10.396634070698074
rssi,1685016695604000000,d74adea29cf7,rasp0,-64.8,-66,-89,12.944496900227525
rssi,1685016698646000000,d74adea29cf7,rasp0,-66.5,-66,-74,12.924782396620843
rssi,1685016699648000000,d74adea29cf7,rasp0,-67.2,-66.5,-73,13.067516979135709
rssi,1685016704644000000,d74adea29cf7,rasp0,-68.8,-67,-68,12.048236385463229
rssi,1685016705149000000,d74adea29cf7,rasp0,-71.3,-67,-84,12.345444503945574
rssi,1685016707140000000,d74adea29cf7,rasp0,-72.4,-67,-63,10.992724866929036
rssi,1685016709133000000,d74adea29cf7,rasp0,-73.2,-66.5,-59,9.61041102138717
rssi,1685016709635000000,d74adea29cf7,rasp0,-71.3,-66,-54,11.207586716149022
rssi,1685016710139000000,d74adea29cf7,rasp0,-68.2,-66,-54,11.27652428720836
rssi,1685016710600000000,d74adea29cf7,rasp0,-66.3,-66,-45,13.251792331605563
rssi,1685016711122000000,d74adea29cf7,rasp0,-63.8,-65.5,-64,10.87933821516732
rssi,1685016711610000000,d74adea29cf7,rasp0,-61.3,-65,-49,11.118003417880388
rssi,1685016712111000000,d74adea29cf7,rasp0,-58.6,-64.5,-46,11.22675376054895
rssi,1685016713115000000,d74adea29cf7,rasp0,-57.2,-64,-54,10.833282051160674
rssi,1685016714636000000,d74adea29cf7,rasp0,-53.8,-64,-50,6.257795138864807
rssi,1685016715140000000,d74adea29cf7,rasp0,-54,-64,-65,6.572670690061994
rssi,1685016716124000000,d74adea29cf7,rasp0,-53.8,-64,-57,6.446704584514479
rssi,1685016716611000000,d74adea29cf7,rasp0,-56.2,-64,-78,9.713907555664713
rssi,1685016717128000000,d74adea29cf7,rasp0,-57.5,-64.5,-67,10.190682018393076
rssi,1685016718637000000,d74adea29cf7,rasp0,-61.7,-65,-87,12.554282137979852
rssi,1685016719139000000,d74adea29cf7,rasp0,-62.4,-65,-71,12.854571171377131
rssi,1685016719645000000,d74adea29cf7,rasp0,-64.4,-65,-69,12.15072014326723
rssi,1685016720153000000,d74adea29cf7,rasp0,-66.7,-65.5,-69,10.517128885774861
rssi,1685016721108000000,d74adea29cf7,rasp0,-66.4,-65,-51,10.910545357588685
rssi,1685016723121000000,d74adea29cf7,rasp0,-67.6,-65,-62,9.624967532412771
rssi,1685016724249000000,d74adea29cf7,rasp0,-67.3,-65,-62,9.747307320486001
rssi,1685016725151000000,d74adea29cf7,rasp0,-69.8,-65,-82,9.987992791347018
rssi,1685016726118000000,d74adea29cf7,rasp0,-70.1,-65,-81,10.270832488167645
rssi,1685016727624000000,d74adea29cf7,rasp0,-69,-65,-56,11.099549540409287
rssi,1685016728135000000,d74adea29cf7,rasp0,-67.4,-65,-71,9.414881836751857
rssi,1685016731102000000,d74adea29cf7,rasp0,-66.4,-65,-61,9.509994742374992
rssi,1685016731603000000,d74adea29cf7,rasp0,-65.2,-65,-57,9.856977224281286
rssi,1685016732110000000,d74adea29cf7,rasp0,-63.8,-64.5,-55,10.20588065773846
rssi,1685016733119000000,d74adea29cf7,rasp0,-65,-64,-63,9.2951600308978
rssi,1685016733658000000,d74adea29cf7,rasp0,-64.8,-64,-60,9.378699270154684
rssi,1685016734128000000,d74adea29cf7,rasp0,-64.9,-64,-63,9.353608929178085
rssi,1685016736210000000,d74adea29cf7,rasp0,-61.7,-64,-50,8.379140767405689
rssi,1685016737629000000,d74adea29cf7,rasp0,-60.1,-64,-65,5.61159513863928
rssi,1685016738269000000,d74adea29cf7,rasp0,-61.3,-64,-68,5.883026432033091
rssi,1685016739153000000,d74adea29cf7,rasp0,-59.2,-64,-50,5.793099343184096
rssi,1685016739659000000,d74adea29cf7,rasp0,-58.2,-64,-51,6.241794613730894
rssi,1685016740280000000,d74adea29cf7,rasp0,-57.7,-64,-52,6.512296062065975
rssi,1685016740596000000,d74adea29cf7,rasp0,-58.9,-64,-67,6.992138442565336
rssi,1685016741104000000,d74adea29cf7,rasp0,-59.6,-64,-70,7.683749084919419
rssi,1685016741606000000,d74adea29cf7,rasp0,-59.3,-64,-57,7.7207512587830465
rssi,1685016743123000000,d74adea29cf7,rasp0,-58.6,-64,-56,7.6707235643060425
rssi,1685016744132000000,d74adea29cf7,rasp0,-59.5,-64,-59,7.116881339463234
rssi,1685016745601000000,d74adea29cf7,rasp0,-58.5,-64,-55,6.974955196988724
rssi,1685016746106000000,d74adea29cf7,rasp0,-59.8,-64,-81,9.410632284814874
rssi,1685016748638000000,d74adea29cf7,rasp0,-61.5,-64,-67,9.013878188659973
rssi,1685016749651000000,d74adea29cf7,rasp0,-62.4,-64,-60,8.345058418010026
rssi,1685016750602000000,d74adea29cf7,rasp0,-64.4,-64,-72,8.002499609497024
rssi,1685016752660000000,d74adea29cf7,rasp0,-65.4,-64,-77,8.845337754998392
rssi,1685016754640000000,d74adea29cf7,rasp0,-66.9,-64,-85,10.59669759878048
rssi,1685016755604000000,d74adea29cf7,rasp0,-70.5,-64,-93,12.555875118843767
rssi,1685016756106000000,d74adea29cf7,rasp0,-73.1,-64,-82,11.96202324023825
rssi,1685016758177000000,d74adea29cf7,rasp0,-75,-64.5,-78,11.045361017187261
rssi,1685016759711000000,d74adea29cf7,rasp0,-75.6,-64,-61,10.061808982484212
rssi,1685016760136000000,d74adea29cf7,rasp0,-73.8,-64,-63,10.533755265810953
rssi,1685016760665000000,d74adea29cf7,rasp0,-73.9,-64,-68,10.47329938462565
rssi,1685016761105000000,d74adea29cf7,rasp0,-74.7,-64.5,-68,9.654532614269838
rssi,1685016761609000000,d74adea29cf7,rasp0,-75,-65,-75,9.612491872558333
rssi,1685016762676000000,d74adea29cf7,rasp0,-74.3,-65,-70,9.69587541174081
rssi,1685016763127000000,d74adea29cf7,rasp0,-73.1,-65,-73,9.0160967164289
rssi,1685016763628000000,d74adea29cf7,rasp0,-71.1,-65,-73,6.139218191268331
rssi,1685016764634000000,d74adea29cf7,rasp0,-69.5,-65,-66,5.084289527554465
rssi,1685016765135000000,d74adea29cf7,rasp0,-68.9,-65.5,-72,4.346262762420146
rssi,1685016766160000000,d74adea29cf7,rasp0,-69.1,-65,-63,4.011234224026316
rssi,1685016766635000000,d74adea29cf7,rasp0,-69.8,-65.5,-70,3.4583232931581165
rssi,1685016767120000000,d74adea29cf7,rasp0,-69.2,-65,-62,4.166533331199932
rssi,1685016767627000000,d74adea29cf7,rasp0,-69.6,-65.5,-72,4.223742416388575
